"","species","interactions"
"1","Ancistrocerus.antilope",4
"2","Ancistrocerus.gazella",2
"3","Ancistrocerus.nigricornis",4
"4","Ancistrocerus.trifasciatus",2
"5","Chelostoma.campanularum",2
"6","Chelostoma.florisomne",2
"7","Chelostoma.rapunculi",2
"8","Chelostoma.spec",1
"9","Crossocerus.spec",2
"10","Dipogon.subintermedius",2
"11","Discoelius.zonalis",2
"12","Eumenidae.spec",7
"13","Euodynerus.quadrifasciatus",3
"14","Heriades.truncorum",4
"15","Hylaeus.communis",4
"16","Hylaeus.spec",6
"17","Megachile.spec",3
"18","Megachile.versicolor",5
"19","Nitela.spinolae",1
"20","Osmia.brevicornis",1
"21","Osmia.leaiana",6
"22","Osmia.rufa",8
"23","Osmia.spec",3
"24","Passaloecus.corniger",4
"25","Passaloecus.eremita",2
"26","Passaloecus.gracilis",1
"27","Passaloecus.insignis",1
"28","Passaloecus.spec",4
"29","Pemphredon.lethifer",1
"30","Pemphredon.lugens",1
"31","Psenulus.pallipes",3
"32","Symmorphus.bifasciatus",1
"33","Symmorphus.gracilis",1
"34","Trypoxylon.clavicerum",5
"35","Trypoxylon.figulus",1
"36","Trypoxylon.minus",1
"37","Trypoxylon.spec",6
